longitude,latitude,Province,City / Town
-93.0237,49.9819,Ontario,Dryden
-92.9516,49.4881,Ontario,Dryden
-91.7852,49.9215,Ontario,Dryden
-91.5473,49.353,Ontario,Atikokan
-91.9438,49.4832,Ontario,Atikokan
-90.8897,49.5947,Ontario,Atikokan
-92.7516,49.7306,Ontario,Dryden
-92.0504,49.6821,Ontario,Dryden
-91.2519,49.9156,Ontario,Atikokan
-90.0181,50.0434,Ontario,Thunder Bay
-91.6091,49.8458,Ontario,Atikokan
-93.2562,49.6497,Ontario,Dryden
-90.728,49.7986,Ontario,Atikokan
-90.0669,50.0896,Ontario,Thunder Bay
-92.6872,49.8114,Ontario,Dryden
-90.0175,50.0982,Ontario,Thunder Bay
-90.0632,50.0053,Ontario,Thunder Bay
-91.7519,49.9185,Ontario,Dryden
-91.7253,49.9218,Ontario,Dryden
-90.853,49.801,Ontario,Atikokan
-90.4758,49.8383,Ontario,Atikokan
-92.6191,49.6403,Ontario,Dryden
-90.0119,50.0747,Ontario,Thunder Bay
-92.4939,49.6938,Ontario,Dryden
-91.1248,49.239,Ontario,Atikokan
-92.9792,49.4881,Ontario,Dryden
-92.4831,49.397,Ontario,Dryden
-92.2513,49.2347,Ontario,Dryden
-93.2724,50.0634,Ontario,Ear Falls
-93.6937,49.9249,Ontario,Ear Falls
-92.1242,49.4308,Ontario,Dryden
-91.9408,49.7504,Ontario,Dryden
-92.2121,49.4539,Ontario,Dryden
-92.0708,49.3404,Ontario,Atikokan
-92.4797,49.7208,Ontario,Dryden
-91.0994,49.8952,Ontario,Atikokan
-91.7323,49.4397,Ontario,Atikokan
-90.6878,49.7384,Ontario,Atikokan
-93.2372,49.7289,Ontario,Dryden
-93.4791,49.7749,Ontario,Dryden
-93.4913,49.6039,Ontario,Dryden
-92.6421,49.5226,Ontario,Dryden
-93.5084,49.9196,Ontario,Ear Falls
-92.6493,49.8716,Ontario,Dryden
-93.4682,49.801,Ontario,Dryden
-92.9694,49.7939,Ontario,Dryden
-93.4381,49.847,Ontario,Dryden
-93.4187,49.8579,Ontario,Dryden
-93.7591,49.9173,Ontario,Ear Falls
-92.9653,49.632,Ontario,Dryden
-91.2494,49.5216,Ontario,Atikokan
-92.9237,49.6949,Ontario,Dryden
-92.7238,49.7432,Ontario,Dryden
-92.5328,49.8235,Ontario,Dryden
-91.4622,49.4329,Ontario,Atikokan
-91.4625,49.4239,Ontario,Atikokan
-93.4352,49.9936,Ontario,Ear Falls
-93.8494,49.8276,Ontario,Ear Falls
-91.8506,49.396,Ontario,Atikokan
-93.0069,49.4881,Ontario,Dryden
-90.7793,50.1954,Ontario,Atikokan
-91.2679,48.6394,Ontario,Atikokan
-93.1952,49.2891,Ontario,Dryden
-92.3562,48.5606,Ontario,Atikokan
-92.2723,48.7391,Ontario,Atikokan
-93.0203,48.7055,Ontario,Fort Frances
-92.1041,48.7128,Ontario,Atikokan
-93.1155,48.7054,Ontario,Fort Frances
-93.0749,48.8134,Ontario,Fort Frances
-93.3887,48.7138,Ontario,Fort Frances
-93.1709,49.0022,Ontario,Fort Frances
-91.9938,48.5166,Ontario,Atikokan
-91.3197,48.7562,Ontario,Atikokan
-91.674,48.7338,Ontario,Atikokan
-92.037,48.9533,Ontario,Atikokan
-91.6834,48.8958,Ontario,Atikokan
-92.3643,48.9916,Ontario,Atikokan
-92.5226,49.0229,Ontario,Dryden
-92.5874,48.4663,Ontario,Fort Frances
-93.2683,49.3348,Ontario,Dryden
-92.1678,48.4775,Ontario,Atikokan
-93.2954,49.2538,Ontario,Fort Frances
-90.9955,48.697,Ontario,Atikokan
-91.1191,48.9528,Ontario,Atikokan
-91.8425,49.0955,Ontario,Atikokan
-91.273,48.9264,Ontario,Atikokan
-91.9225,49.1952,Ontario,Atikokan
-92.8149,49.1281,Ontario,Dryden
-92.0515,48.9085,Ontario,Atikokan
-92.1156,49.1429,Ontario,Atikokan
-92.568,49.1544,Ontario,Dryden
-93.1029,49.1822,Ontario,Fort Frances
-92.1093,48.729,Ontario,Atikokan
-93.2534,49.1073,Ontario,Fort Frances
-91.1878,48.298,Ontario,Atikokan
-90.9904,49.1647,Ontario,Atikokan
-92.5282,49.0103,Ontario,Dryden
-93.1704,48.8673,Ontario,Fort Frances
-92.0955,48.7379,Ontario,Atikokan
-93.2926,48.786,Ontario,Fort Frances
-91.2724,48.5486,Ontario,Atikokan
-93.0752,49.0383,Ontario,Fort Frances
-93.0616,49.0743,Ontario,Fort Frances
-93.1163,49.0472,Ontario,Fort Frances
-92.9931,49.1013,Ontario,Fort Frances
-92.9109,49.1012,Ontario,Fort Frances
-93.0752,49.0653,Ontario,Fort Frances
-93.144,49.1641,Ontario,Fort Frances
-93.1713,49.1191,Ontario,Fort Frances
-93.3204,48.8759,Ontario,Fort Frances
-92.9389,48.6515,Ontario,Fort Frances
-93.1849,49.1101,Ontario,Fort Frances
-93.2244,48.7592,Ontario,Fort Frances
-93.0287,49.0257,Ontario,Fort Frances
-92.9588,49.1993,Ontario,Dryden
-91.9395,49.0442,Ontario,Atikokan
-92.9656,49.2182,Ontario,Dryden
-91.6164,48.3553,Ontario,Atikokan
-92.9931,48.7684,Ontario,Fort Frances
-93.143,48.8223,Ontario,Fort Frances
-93.0883,48.7324,Ontario,Fort Frances
-92.7623,48.6692,Ontario,Fort Frances
-93.2954,49.2628,Ontario,Fort Frances
-82.5626,49.4334,Ontario,Kapuskasing
-83.5058,49.0759,Ontario,Hearst
-83.7131,49.7108,Ontario,Hearst
-83.709,49.6632,Ontario,Hearst
-83.6489,49.7033,Ontario,Hearst
-83.6973,49.6266,Ontario,Hearst
-82.7663,49.229,Ontario,Kapuskasing
-84.5597,49.7745,Ontario,Hornepayne
-84.1307,49.7943,Ontario,Hearst
-82.8903,48.8429,Ontario,Kapuskasing
-83.6513,49.6727,Ontario,Hearst
-82.4083,49.4408,Ontario,Kapuskasing
-82.3958,49.4365,Ontario,Kapuskasing
-83.7171,49.5848,Ontario,Hearst
-82.9283,49.5439,Ontario,Kapuskasing
-82.4356,49.4297,Ontario,Kapuskasing
-83.7567,49.7701,Ontario,Hearst
-84.2314,49.7338,Ontario,Hearst
-76.5278,45.2001,Ontario,Arnprior
-94.0011,50.1673,Ontario,Red Lake
-93.6191,50.1925,Ontario,Ear Falls
-94.3419,50.2394,Ontario,Red Lake
-94.003,50.2572,Ontario,Red Lake
-94.4188,50.3231,Ontario,Red Lake
-93.3018,50.2971,Ontario,Ear Falls
-93.9869,50.1584,Ontario,Red Lake
-93.0491,50.3245,Ontario,Ear Falls
-93.942,50.2236,Ontario,Red Lake
-93.174,50.2812,Ontario,Ear Falls
-94.0007,50.1493,Ontario,Red Lake
-94.0009,50.1583,Ontario,Red Lake
-94.0812,49.9957,Ontario,Red Lake
-93.1615,50.3244,Ontario,Ear Falls
-93.9867,50.1494,Ontario,Red Lake
-94.1405,49.9079,Ontario,Red Lake
-93.9869,50.1584,Ontario,Red Lake
-93.483,50.1706,Ontario,Ear Falls
-93.0,50.1932,Ontario,Dryden
-93.3161,50.3331,Ontario,Ear Falls
-94.2706,50.2996,Ontario,Red Lake
-93.302,50.3331,Ontario,Ear Falls
-93.2038,50.3693,Ontario,Ear Falls
-94.4291,49.965,Ontario,Red Lake
-94.0075,49.8075,Ontario,Ear Falls
-93.8879,50.1053,Ontario,Ear Falls
-93.1194,50.3604,Ontario,Ear Falls
-93.4917,50.1967,Ontario,Ear Falls
-93.5241,50.0805,Ontario,Ear Falls
-93.5978,50.3859,Ontario,Ear Falls
-93.595,50.3913,Ontario,Ear Falls
-93.5519,50.0714,Ontario,Ear Falls
-93.5234,50.0176,Ontario,Ear Falls
-93.9534,49.8799,Ontario,Ear Falls
-93.4884,50.1481,Ontario,Ear Falls
-93.1188,50.0996,Ontario,Dryden
-93.723,50.2953,Ontario,Ear Falls
-93.8205,50.2497,Ontario,Ear Falls
-93.9936,50.4822,Ontario,Red Lake
-93.7641,50.2321,Ontario,Ear Falls
-92.9649,50.2885,Ontario,Ear Falls
-93.063,50.2346,Ontario,Ear Falls
-94.6949,50.3841,Ontario,Red Lake
-93.0771,50.2346,Ontario,Ear Falls
-93.2876,50.2702,Ontario,Ear Falls
-93.5795,50.0443,Ontario,Ear Falls
-93.6379,50.2328,Ontario,Ear Falls
-93.4974,50.2065,Ontario,Ear Falls
-94.24,50.201,Ontario,Red Lake
-93.7331,50.0434,Ontario,Ear Falls
-93.6031,50.0271,Ontario,Ear Falls
-94.0625,50.2864,Ontario,Red Lake
-93.5949,50.1611,Ontario,Ear Falls
-94.0421,50.122,Ontario,Red Lake
-93.6787,50.1427,Ontario,Ear Falls
-93.7068,50.1515,Ontario,Ear Falls
-79.8019,47.8661,Ontario,Englehart
-79.681,47.9422,Ontario,Englehart
-80.4248,48.4881,Ontario,Iroquois Falls
-79.9848,47.4684,Ontario,Temiskaming Shores
-79.7508,48.2138,Ontario,Kirkland Lake
-79.8954,47.9354,Ontario,Englehart
-79.895,47.9534,Ontario,Englehart
-79.9813,47.6483,Ontario,Englehart
-79.9836,47.6672,Ontario,Englehart
-79.9207,48.0076,Ontario,Kirkland Lake
-79.5339,44.8246,Ontario,Gravenhurst
-79.7877,44.4243,Ontario,Barrie
-86.9523,48.8134,Ontario,Marathon
-88.2906,48.9501,Ontario,Thunder Bay
-86.4106,49.7024,Ontario,Greenstone
-87.7648,49.3956,Ontario,Greenstone
-87.1036,49.533,Ontario,Greenstone
-88.4189,49.1375,Ontario,Thunder Bay
-88.6215,53.5233,Ontario,Greenstone
-87.7172,48.9641,Ontario,Greenstone
-88.5342,48.5162,Ontario,Thunder Bay
-88.831,52.7822,Ontario,Greenstone
-87.35,52.9855,Ontario,Greenstone
-87.5427,52.9128,Ontario,Greenstone
-88.5782,48.9735,Ontario,Thunder Bay
-87.6209,49.6744,Ontario,Greenstone
-88.5334,52.7513,Ontario,Greenstone
-86.9509,50.2346,Ontario,Greenstone
-86.9411,50.2319,Ontario,Greenstone
-86.3385,49.7983,Ontario,Greenstone
-87.9325,50.2398,Ontario,Greenstone
-87.8762,50.2313,Ontario,Greenstone
-89.288,48.3552,Ontario,Thunder Bay
-89.133,49.8012,Ontario,Thunder Bay
-90.8259,49.1618,Ontario,Atikokan
-89.5188,48.0805,Ontario,Neebing
-89.2825,48.3544,Ontario,Thunder Bay
-89.4451,48.5355,Ontario,Thunder Bay
-89.6445,50.2585,Ontario,Thunder Bay
-89.2705,48.3583,Ontario,Thunder Bay
-89.2746,48.3591,Ontario,Thunder Bay
-89.3646,50.2735,Ontario,Thunder Bay
-90.0338,50.2417,Ontario,Thunder Bay
-90.8408,49.135,Ontario,Atikokan
-89.0072,50.7839,Ontario,Greenstone
-90.6078,48.9037,Ontario,Atikokan
-90.466,48.9565,Ontario,Atikokan
-89.9791,49.0898,Ontario,Thunder Bay
-90.0637,49.1071,Ontario,Thunder Bay
-89.9649,49.4716,Ontario,Thunder Bay
-90.2148,48.9525,Ontario,Neebing
-90.6526,49.1431,Ontario,Atikokan
-89.55,49.271,Ontario,Thunder Bay
-89.4624,49.9926,Ontario,Thunder Bay
-89.6804,50.1497,Ontario,Thunder Bay
-89.4117,49.1417,Ontario,Thunder Bay
-89.1104,48.956,Ontario,Thunder Bay
-89.3659,50.3004,Ontario,Thunder Bay
-89.9768,50.6372,Ontario,Thunder Bay
-89.9707,49.8637,Ontario,Thunder Bay
-89.3937,49.7332,Ontario,Thunder Bay
-89.2677,48.3547,Ontario,Thunder Bay
-88.9583,50.29,Ontario,Greenstone
-89.1482,50.1428,Ontario,Thunder Bay
-89.4229,49.2018,Ontario,Thunder Bay
-89.1271,49.6664,Ontario,Thunder Bay
-89.2757,49.8795,Ontario,Thunder Bay
-89.2409,49.1245,Ontario,Thunder Bay
-89.8898,48.7322,Ontario,Thunder Bay
